artist_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,track_name,track_number,album_name,key_name,mode_name,key_mode
Beyoncé,2022-07-29,0.664,0.628,8,-9.618,1,0.0435,0.0791,0.00108,0.11,0.226,120.014,4,273997,FALSE,SUMMER RENAISSANCE,16,RENAISSANCE,G#,major,G# major
Beyoncé,2020-07-31,0.509,0.36,5,-8.2,0,0.0361,0.633,0,0.13,0.181,129.624,4,226360,FALSE,BIGGER,1,The Lion King: The Gift [Deluxe Edition],F,minor,F minor
Beyoncé,2020-07-31,0.783,0.693,4,-6.747,0,0.174,0.197,0.0274,0.0768,0.623,119.063,4,162438,FALSE,FIND YOUR WAY BACK,2,The Lion King: The Gift [Deluxe Edition],E,minor,E minor
Beyoncé,2020-07-31,0.926,0.782,7,-5.3,0,0.101,0.0194,0.0718,0.355,0.563,120.005,4,156442,FALSE,DON'T JEALOUS ME,3,The Lion King: The Gift [Deluxe Edition],G,minor,G minor
Beyoncé,2020-07-31,0.795,0.671,0,-5.792,1,0.0601,0.0488,0.0119,0.0752,0.867,92.001,4,190434,FALSE,JA ARA E,4,The Lion King: The Gift [Deluxe Edition],C,major,C major
Beyoncé,2020-07-31,0.554,0.45,8,-9.454,0,0.182,0.731,0,0.339,0.348,87.047,4,107462,FALSE,NILE,5,The Lion King: The Gift [Deluxe Edition],G#,minor,G# minor
Beyoncé,2020-07-31,0.611,0.723,7,-6.199,1,0.369,0.12,0,0.322,0.718,105.758,4,272464,FALSE,MOOD 4 EVA (feat. Oumou Sangaré),6,The Lion King: The Gift [Deluxe Edition],G,major,G major
Beyoncé,2020-07-31,0.807,0.809,0,-3.713,0,0.0709,0.105,3.3e-6,0.186,0.462,124.052,4,153193,FALSE,WATER,7,The Lion King: The Gift [Deluxe Edition],C,minor,C minor
Beyoncé,2020-07-31,0.526,0.609,6,-7.072,1,0.212,0.0554,0,0.291,0.605,88.83,4,248143,FALSE,BROWN SKIN GIRL,8,The Lion King: The Gift [Deluxe Edition],F#,major,F# major
Beyoncé,2020-07-31,0.735,0.678,0,-6.655,1,0.0896,0.00642,1.58e-5,0.114,0.686,90.028,4,199073,FALSE,KEYS TO THE KINGDOM,9,The Lion King: The Gift [Deluxe Edition],C,major,C major
Beyoncé,2020-07-31,0.671,0.755,2,-5.831,0,0.0683,0.0876,0,0.429,0.543,67.332,3,223422,FALSE,ALREADY,10,The Lion King: The Gift [Deluxe Edition],D,minor,D minor
Beyoncé,2020-07-31,0.33,0.244,3,-9.508,1,0.0339,0.94,0.00466,0.0969,0.4,136.344,4,220232,FALSE,OTHERSIDE,11,The Lion King: The Gift [Deluxe Edition],D#,major,D# major
Beyoncé,2020-07-31,0.769,0.856,7,-4.923,1,0.127,0.0162,0,0.125,0.755,126.95,4,260560,FALSE,MY POWER,12,The Lion King: The Gift [Deluxe Edition],G,major,G major
Beyoncé,2020-07-31,0.576,0.434,1,-7.769,1,0.0491,0.284,1.56e-6,0.118,0.0588,118.259,4,187334,FALSE,SCAR,13,The Lion King: The Gift [Deluxe Edition],C#,major,C# major
Beyoncé,2020-07-31,0.447,0.436,10,-8.119,1,0.0389,0.00971,0,0.0986,0.0497,80.856,4,277070,FALSE,"SPIRIT - From Disney's ""The Lion King""",14,The Lion King: The Gift [Deluxe Edition],A#,major,A# major
Beyoncé,2020-07-31,0.807,0.544,1,-5.875,1,0.0409,0.00333,1.67e-5,0.146,0.0541,120.006,4,316750,TRUE,BLACK PARADE - Extended Version,15,The Lion King: The Gift [Deluxe Edition],C#,major,C# major
Beyoncé,2020-07-31,0.777,0.588,7,-9.759,1,0.0756,0.0227,0.0545,0.267,0.195,119.109,4,216339,FALSE,FIND YOUR WAY BACK - MELO-X Remix,16,The Lion King: The Gift [Deluxe Edition],G,major,G major
Beyoncé,2020-07-31,0.824,0.555,1,-5.817,1,0.05,0.00337,6.42e-6,0.217,0.0611,120.002,4,281272,TRUE,BLACK PARADE,17,The Lion King: The Gift [Deluxe Edition],C#,major,C# major
Beyoncé,2020-07-31,0.509,0.36,5,-8.2,0,0.0361,0.633,0,0.13,0.181,129.624,4,226360,FALSE,BIGGER,1,The Lion King: The Gift [Deluxe Edition],F,minor,F minor
Beyoncé,2020-07-31,0.783,0.693,4,-6.747,0,0.174,0.197,0.0274,0.0768,0.623,119.063,4,162438,FALSE,FIND YOUR WAY BACK,2,The Lion King: The Gift [Deluxe Edition],E,minor,E minor
Beyoncé,2020-07-31,0.926,0.782,7,-5.3,0,0.101,0.0194,0.0718,0.355,0.563,120.005,4,156442,FALSE,DON'T JEALOUS ME,3,The Lion King: The Gift [Deluxe Edition],G,minor,G minor
