ons_id,ons_region_id,constituency_name,region_name,country_name,constituency_type,member_first_name,member_surname,member_gender,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ruk,green,snp,pc,dup,sf,sdlp,uup,apni,all_other_candidates,con_pc,lab_pc,ld_pc,ruk_pc,green_pc,snp_pc,pc_pc,dup_pc,sf_pc,sdlp_pc,uup_pc,apni_pc,all_other_candidates_pc
E14001341,E12000002,Liverpool West Derby,North West,England,Borough,Ian,Byrne,Male,Lab hold,Lab,RUK,69934,38006,162,20423,1566,25302,1276,4879,2647,0,0,0,0,0,0,0,2336,4.12,66.57,3.36,12.84,6.96,0,0,0,0,0,0,0,6.15
S14000095,S92000003,Livingston,Scotland,Scotland,County,Gregor,Poynton,Male,Lab gain from SNP,Lab,SNP,78043,44840,121,3528,3469,18324,2025,3977,1704,14796,0,0,0,0,0,0,545,7.74,40.87,4.52,8.87,3.8,33,0,0,0,0,0,0,1.22
W07000098,W92000004,Llanelli,Wales,Wales,County,Nia,Griffith,Female,Lab hold,Lab,RUK,71538,40744,124,1504,4275,12751,1254,11247,1106,0,9511,0,0,0,0,0,600,10.49,31.3,3.08,27.6,2.71,0,23.34,0,0,0,0,0,1.47
S14000096,S92000003,Lothian East,Scotland,Scotland,County,Douglas,Alexander,Male,Lab gain from SNP,Lab,SNP,75456,48102,132,13265,5535,23555,2649,3039,2477,10290,0,0,0,0,0,0,557,11.51,48.97,5.51,6.32,5.15,21.39,0,0,0,0,0,0,1.16
E14001342,E12000004,Loughborough,East Midlands,England,County,Jeevun,Sandher,Male,Lab gain from Con,Lab,Con,68961,42259,177,4960,12289,17249,2561,7204,2956,0,0,0,0,0,0,0,0,29.08,40.82,6.06,17.05,6.99,0,0,0,0,0,0,0,0
E14001343,E12000004,Louth and Horncastle,East Midlands,England,County,Victoria,Atkins,Female,Con hold,Con,RUK,76880,46479,131,5506,17441,10475,2364,11935,2504,0,0,0,0,0,0,0,1760,37.52,22.54,5.09,25.68,5.39,0,0,0,0,0,0,0,3.79
E14001344,E12000006,Lowestoft,East of England,England,County,Jess,Asato,Female,Lab gain from Con,Lab,Con,74332,41824,101,2016,12448,14464,1489,10328,3095,0,0,0,0,0,0,0,0,29.76,34.58,3.56,24.69,7.4,0,0,0,0,0,0,0,0
E14001345,E12000006,Luton North,East of England,England,Borough,Sarah,Owen,Female,Lab hold,Lab,Con,74866,38745,162,7510,7167,14677,1890,4666,1940,0,0,0,0,0,0,0,8405,18.5,37.88,4.88,12.04,5.01,0,0,0,0,0,0,0,21.69
E14001346,E12000006,Luton South and South Bedfordshire,East of England,England,County,Rachel,Hopkins,Female,Lab hold,Lab,Con,77312,38382,176,6858,6735,13593,2400,4759,2401,0,0,0,0,0,0,0,8494,17.55,35.42,6.25,12.4,6.26,0,0,0,0,0,0,0,22.13
E14001347,E12000002,Macclesfield,North West,England,County,Tim,Roca,Male,Lab gain from Con,Lab,Con,76416,52792,143,9120,15552,24672,2482,6592,2493,0,0,0,0,0,0,0,1001,29.46,46.73,4.7,12.49,4.72,0,0,0,0,0,0,0,1.9
